127.0.0.1, 2019-01-26 16:51:23, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000858
127.0.0.1, 2019-01-26 16:52:01, GET, /init/default/student, HTTP/1.1, 200, 0.029549
127.0.0.1, 2019-01-26 16:52:01, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.000689
127.0.0.1, 2019-01-26 16:52:01, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000848
127.0.0.1, 2019-01-26 16:52:01, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002415
127.0.0.1, 2019-01-26 16:52:06, POST, /init/default/student, HTTP/1.1, 200, 0.043630
127.0.0.1, 2019-01-26 16:52:06, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.002101
127.0.0.1, 2019-01-26 16:52:06, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002156
127.0.0.1, 2019-01-26 16:52:06, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002117
127.0.0.1, 2019-01-26 16:54:27, GET, /init/default/student, HTTP/1.1, 200, 0.017972
127.0.0.1, 2019-01-26 16:54:27, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000538
127.0.0.1, 2019-01-26 16:54:27, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.001103
127.0.0.1, 2019-01-26 16:54:27, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001186
127.0.0.1, 2019-01-26 16:54:41, POST, /init/default/student, HTTP/1.1, 200, 0.037528
127.0.0.1, 2019-01-26 16:54:41, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000772
127.0.0.1, 2019-01-26 16:54:41, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.002581
127.0.0.1, 2019-01-26 16:54:41, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001544
127.0.0.1, 2019-01-26 16:56:10, GET, /init/default/student, HTTP/1.1, 200, 0.270740
